origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,cash_detail_status,cash_detail_source,legs,outbound_origin,outbound_destination,outbound_date,outbound_depart_time,outbound_arrive_time,outbound_flight_numbers,outbound_carriers,outbound_stops,outbound_duration_minutes,outbound_duration_display,return_depart_time,return_arrive_time,return_flight_numbers,return_carriers,return_stops,return_duration_minutes,return_duration_display,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,cash_price_amount,cash_price_currency,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,score,flags,provider_rank,provider_is_best,provider_current_price,duration_minutes,duration_display,raw_price,delay
SFO,DTW,2027-01-14,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'DTW', 'date': '2027-01-14', 'depart_time': '10:55', 'arrive_time': '22:00', 'flight_numbers': 'WN 733 / WN 867', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 485, 'duration_display': '8h 5m', 'segments': [{'origin': 'SFO', 'destination': 'BWI', 'depart_time': '10:55', 'arrive_time': '19:00', 'airline': 'WN', 'flight_number': '733', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 305}, {'origin': 'BWI', 'destination': 'DTW', 'depart_time': '20:20', 'arrive_time': '22:00', 'airline': 'WN', 'flight_number': '867', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 100}], 'layovers': [{'airport': 'BWI', 'duration_minutes': 80, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SFO,DTW,2027-01-14,10:55,22:00,WN 733 / WN 867,WN,1,485,8h 5m,,,,,,,,10:55,22:00,WN 733 / WN 867,WN,economy,1,cash,fli,,239.0,239.0,USD,,239.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_dtw_2027-01-14_economy_fli_raw.json,50.0,40.42,0.0,0.0,329.42,,4,False,,485,8h 5m,USD 239.00,
SFO,DTW,2027-01-14,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'DTW', 'date': '2027-01-14', 'depart_time': '10:35', 'arrive_time': '19:50', 'flight_numbers': 'WN 4617 / WN 4601', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 375, 'duration_display': '6h 15m', 'segments': [{'origin': 'SFO', 'destination': 'STL', 'depart_time': '10:35', 'arrive_time': '16:20', 'airline': 'WN', 'flight_number': '4617', 'aircraft': 'Boeing 737', 'duration_minutes': 225}, {'origin': 'STL', 'destination': 'DTW', 'depart_time': '17:25', 'arrive_time': '19:50', 'airline': 'WN', 'flight_number': '4601', 'aircraft': 'Boeing 737', 'duration_minutes': 85}], 'layovers': [{'airport': 'STL', 'duration_minutes': 65, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SFO,DTW,2027-01-14,10:35,19:50,WN 4617 / WN 4601,WN,1,375,6h 15m,,,,,,,,10:35,19:50,WN 4617 / WN 4601,WN,economy,1,cash,fli,,254.0,254.0,USD,,254.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_dtw_2027-01-14_economy_fli_raw.json,50.0,31.25,0.0,0.0,335.25,,14,False,,375,6h 15m,USD 254.00,
SFO,DTW,2027-01-14,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'DTW', 'date': '2027-01-14', 'depart_time': '13:25', 'arrive_time': '22:45', 'flight_numbers': 'WN 3505 / WN 2592', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 380, 'duration_display': '6h 20m', 'segments': [{'origin': 'SFO', 'destination': 'DEN', 'depart_time': '13:25', 'arrive_time': '16:55', 'airline': 'WN', 'flight_number': '3505', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 150}, {'origin': 'DEN', 'destination': 'DTW', 'depart_time': '18:05', 'arrive_time': '22:45', 'airline': 'WN', 'flight_number': '2592', 'aircraft': 'Boeing 737-700 (Scimitar Winglets) Pax', 'duration_minutes': 160}], 'layovers': [{'airport': 'DEN', 'duration_minutes': 70, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SFO,DTW,2027-01-14,13:25,22:45,WN 3505 / WN 2592,WN,1,380,6h 20m,,,,,,,,13:25,22:45,WN 3505 / WN 2592,WN,economy,1,cash,fli,,280.0,280.0,USD,,280.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_dtw_2027-01-14_economy_fli_raw.json,50.0,31.67,0.0,0.0,361.67,,31,False,,380,6h 20m,USD 280.00,
SFO,DTW,2027-01-14,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'DTW', 'date': '2027-01-14', 'depart_time': '11:35', 'arrive_time': '22:45', 'flight_numbers': 'WN 1661 / WN 2592', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 490, 'duration_display': '8h 10m', 'segments': [{'origin': 'SFO', 'destination': 'DEN', 'depart_time': '11:35', 'arrive_time': '15:05', 'airline': 'WN', 'flight_number': '1661', 'aircraft': 'Boeing 737', 'duration_minutes': 150}, {'origin': 'DEN', 'destination': 'DTW', 'depart_time': '18:05', 'arrive_time': '22:45', 'airline': 'WN', 'flight_number': '2592', 'aircraft': 'Boeing 737-700 (Scimitar Winglets) Pax', 'duration_minutes': 160}], 'layovers': [{'airport': 'DEN', 'duration_minutes': 180, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SFO,DTW,2027-01-14,11:35,22:45,WN 1661 / WN 2592,WN,1,490,8h 10m,,,,,,,,11:35,22:45,WN 1661 / WN 2592,WN,economy,1,cash,fli,,280.0,280.0,USD,,280.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_dtw_2027-01-14_economy_fli_raw.json,50.0,40.83,0.0,0.0,370.83,,30,False,,490,8h 10m,USD 280.00,
SFO,DTW,2027-01-14,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'DTW', 'date': '2027-01-14', 'depart_time': '06:05', 'arrive_time': '15:55', 'flight_numbers': 'WN 3995 / WN 1791', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 410, 'duration_display': '6h 50m', 'segments': [{'origin': 'SFO', 'destination': 'MDW', 'depart_time': '06:05', 'arrive_time': '12:05', 'airline': 'WN', 'flight_number': '3995', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 240}, {'origin': 'MDW', 'destination': 'DTW', 'depart_time': '13:45', 'arrive_time': '15:55', 'airline': 'WN', 'flight_number': '1791', 'aircraft': 'Boeing 737-700 (Scimitar Winglets) Pax', 'duration_minutes': 70}], 'layovers': [{'airport': 'MDW', 'duration_minutes': 100, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SFO,DTW,2027-01-14,06:05,15:55,WN 3995 / WN 1791,WN,1,410,6h 50m,,,,,,,,06:05,15:55,WN 3995 / WN 1791,WN,economy,1,cash,fli,,239.0,239.0,USD,,239.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_dtw_2027-01-14_economy_fli_raw.json,50.0,34.17,50.0,0.0,373.17,early departure,3,False,,410,6h 50m,USD 239.00,
SFO,DTW,2027-01-14,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'DTW', 'date': '2027-01-14', 'depart_time': '06:00', 'arrive_time': '16:22', 'flight_numbers': 'AA 2114 / AA 1419', 'carriers': 'AA', 'stops': 1, 'duration_minutes': 442, 'duration_display': '7h 22m', 'segments': [{'origin': 'SFO', 'destination': 'PHX', 'depart_time': '06:00', 'arrive_time': '09:05', 'airline': 'AA', 'flight_number': '2114', 'aircraft': 'Boeing 737', 'duration_minutes': 125}, {'origin': 'PHX', 'destination': 'DTW', 'depart_time': '10:33', 'arrive_time': '16:22', 'airline': 'AA', 'flight_number': '1419', 'aircraft': 'Airbus A321', 'duration_minutes': 229}], 'layovers': [{'airport': 'PHX', 'duration_minutes': 88, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SFO,DTW,2027-01-14,06:00,16:22,AA 2114 / AA 1419,AA,1,442,7h 22m,,,,,,,,06:00,16:22,AA 2114 / AA 1419,AA,economy,1,cash,fli,,239.0,239.0,USD,,239.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_dtw_2027-01-14_economy_fli_raw.json,50.0,36.83,50.0,0.0,375.83,early departure,2,False,,442,7h 22m,USD 239.00,
SFO,DTW,2027-01-14,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'DTW', 'date': '2027-01-14', 'depart_time': '09:30', 'arrive_time': '22:45', 'flight_numbers': 'WN 1879 / WN 1615 / WN 2592', 'carriers': 'WN', 'stops': 2, 'duration_minutes': 615, 'duration_display': '10h 15m', 'segments': [{'origin': 'SFO', 'destination': 'SAN', 'depart_time': '09:30', 'arrive_time': '11:00', 'airline': 'WN', 'flight_number': '1879', 'aircraft': 'Boeing 737', 'duration_minutes': 90}, {'origin': 'SAN', 'destination': 'DEN', 'depart_time': '12:25', 'arrive_time': '15:45', 'airline': 'WN', 'flight_number': '1615', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 140}, {'origin': 'DEN', 'destination': 'DTW', 'depart_time': '18:05', 'arrive_time': '22:45', 'airline': 'WN', 'flight_number': '2592', 'aircraft': 'Boeing 737-700 (Scimitar Winglets) Pax', 'duration_minutes': 160}], 'layovers': [{'airport': 'SAN', 'duration_minutes': 85, 'overnight': False, 'change_of_airport': False}, {'airport': 'DEN', 'duration_minutes': 140, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SFO,DTW,2027-01-14,09:30,22:45,WN 1879 / WN 1615 / WN 2592,WN,2,615,10h 15m,,,,,,,,09:30,22:45,WN 1879 / WN 1615 / WN 2592,WN,economy,2,cash,fli,,244.0,244.0,USD,,244.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_dtw_2027-01-14_economy_fli_raw.json,100.0,51.25,0.0,0.0,395.25,,8,False,,615,10h 15m,USD 244.00,
SFO,DTW,2027-01-14,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'DTW', 'date': '2027-01-14', 'depart_time': '06:05', 'arrive_time': '19:55', 'flight_numbers': 'WN 3995 / WN 4172', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 650, 'duration_display': '10h 50m', 'segments': [{'origin': 'SFO', 'destination': 'MDW', 'depart_time': '06:05', 'arrive_time': '12:05', 'airline': 'WN', 'flight_number': '3995', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 240}, {'origin': 'MDW', 'destination': 'DTW', 'depart_time': '17:45', 'arrive_time': '19:55', 'airline': 'WN', 'flight_number': '4172', 'aircraft': 'Boeing 737', 'duration_minutes': 70}], 'layovers': [{'airport': 'MDW', 'duration_minutes': 340, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SFO,DTW,2027-01-14,06:05,19:55,WN 3995 / WN 4172,WN,1,650,10h 50m,,,,,,,,06:05,19:55,WN 3995 / WN 4172,WN,economy,1,cash,fli,,244.0,244.0,USD,,244.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_dtw_2027-01-14_economy_fli_raw.json,50.0,54.17,50.0,0.0,398.17,early departure,10,False,,650,10h 50m,USD 244.00,
SFO,DTW,2027-01-14,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'DTW', 'date': '2027-01-14', 'depart_time': '11:12', 'arrive_time': '23:04', 'flight_numbers': 'AA 6404 / AA 1287', 'carriers': 'AA', 'stops': 1, 'duration_minutes': 532, 'duration_display': '8h 52m', 'segments': [{'origin': 'SFO', 'destination': 'PHX', 'depart_time': '11:12', 'arrive_time': '14:19', 'airline': 'AA', 'flight_number': '6404', 'aircraft': 'Embraer 175', 'duration_minutes': 127}, {'origin': 'PHX', 'destination': 'DTW', 'depart_time': '17:15', 'arrive_time': '23:04', 'airline': 'AA', 'flight_number': '1287', 'aircraft': 'Airbus A321', 'duration_minutes': 229}], 'layovers': [{'airport': 'PHX', 'duration_minutes': 176, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SFO,DTW,2027-01-14,11:12,23:04,AA 6404 / AA 1287,AA,1,532,8h 52m,,,,,,,,11:12,23:04,AA 6404 / AA 1287,AA,economy,1,cash,fli,,254.0,254.0,USD,,254.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_dtw_2027-01-14_economy_fli_raw.json,50.0,44.33,50.0,0.0,398.33,late arrival,15,False,,532,8h 52m,USD 254.00,
SFO,DTW,2027-01-14,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'DTW', 'date': '2027-01-14', 'depart_time': '07:50', 'arrive_time': '19:55', 'flight_numbers': 'WN 4679 / WN 1896 / WN 4172', 'carriers': 'WN', 'stops': 2, 'duration_minutes': 545, 'duration_display': '9h 5m', 'segments': [{'origin': 'SFO', 'destination': 'AUS', 'depart_time': '07:50', 'arrive_time': '13:15', 'airline': 'WN', 'flight_number': '4679', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 205}, {'origin': 'AUS', 'destination': 'MDW', 'depart_time': '14:20', 'arrive_time': '16:45', 'airline': 'WN', 'flight_number': '1896', 'aircraft': 'Boeing 737', 'duration_minutes': 145}, {'origin': 'MDW', 'destination': 'DTW', 'depart_time': '17:45', 'arrive_time': '19:55', 'airline': 'WN', 'flight_number': '4172', 'aircraft': 'Boeing 737', 'duration_minutes': 70}], 'layovers': [{'airport': 'AUS', 'duration_minutes': 65, 'overnight': False, 'change_of_airport': False}, {'airport': 'MDW', 'duration_minutes': 60, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SFO,DTW,2027-01-14,07:50,19:55,WN 4679 / WN 1896 / WN 4172,WN,2,545,9h 5m,,,,,,,,07:50,19:55,WN 4679 / WN 1896 / WN 4172,WN,economy,2,cash,fli,,259.0,259.0,USD,,259.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_dtw_2027-01-14_economy_fli_raw.json,100.0,45.42,0.0,0.0,404.42,,24,False,,545,9h 5m,USD 259.00,
SFO,DTW,2027-01-14,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'DTW', 'date': '2027-01-14', 'depart_time': '07:20', 'arrive_time': '22:45', 'flight_numbers': 'WN 4594 / WN 1615 / WN 2592', 'carriers': 'WN', 'stops': 2, 'duration_minutes': 745, 'duration_display': '12h 25m', 'segments': [{'origin': 'SFO', 'destination': 'SAN', 'depart_time': '07:20', 'arrive_time': '08:55', 'airline': 'WN', 'flight_number': '4594', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 95}, {'origin': 'SAN', 'destination': 'DEN', 'depart_time': '12:25', 'arrive_time': '15:45', 'airline': 'WN', 'flight_number': '1615', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 140}, {'origin': 'DEN', 'destination': 'DTW', 'depart_time': '18:05', 'arrive_time': '22:45', 'airline': 'WN', 'flight_number': '2592', 'aircraft': 'Boeing 737-700 (Scimitar Winglets) Pax', 'duration_minutes': 160}], 'layovers': [{'airport': 'SAN', 'duration_minutes': 210, 'overnight': False, 'change_of_airport': False}, {'airport': 'DEN', 'duration_minutes': 140, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SFO,DTW,2027-01-14,07:20,22:45,WN 4594 / WN 1615 / WN 2592,WN,2,745,12h 25m,,,,,,,,07:20,22:45,WN 4594 / WN 1615 / WN 2592,WN,economy,2,cash,fli,,244.0,244.0,USD,,244.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_dtw_2027-01-14_economy_fli_raw.json,100.0,62.08,0.0,0.0,406.08,,7,False,,745,12h 25m,USD 244.00,
SFO,DTW,2027-01-14,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'DTW', 'date': '2027-01-14', 'depart_time': '07:20', 'arrive_time': '19:50', 'flight_numbers': 'WN 4594 / WN 3434 / WN 4601', 'carriers': 'WN', 'stops': 2, 'duration_minutes': 570, 'duration_display': '9h 30m', 'segments': [{'origin': 'SFO', 'destination': 'SAN', 'depart_time': '07:20', 'arrive_time': '08:55', 'airline': 'WN', 'flight_number': '4594', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 95}, {'origin': 'SAN', 'destination': 'STL', 'depart_time': '11:10', 'arrive_time': '16:35', 'airline': 'WN', 'flight_number': '3434', 'aircraft': 'Boeing 737', 'duration_minutes': 205}, {'origin': 'STL', 'destination': 'DTW', 'depart_time': '17:25', 'arrive_time': '19:50', 'airline': 'WN', 'flight_number': '4601', 'aircraft': 'Boeing 737', 'duration_minutes': 85}], 'layovers': [{'airport': 'SAN', 'duration_minutes': 135, 'overnight': False, 'change_of_airport': False}, {'airport': 'STL', 'duration_minutes': 50, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SFO,DTW,2027-01-14,07:20,19:50,WN 4594 / WN 3434 / WN 4601,WN,2,570,9h 30m,,,,,,,,07:20,19:50,WN 4594 / WN 3434 / WN 4601,WN,economy,2,cash,fli,,259.0,259.0,USD,,259.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_dtw_2027-01-14_economy_fli_raw.json,100.0,47.5,0.0,0.0,406.5,,23,False,,570,9h 30m,USD 259.00,
SFO,DTW,2027-01-14,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'DTW', 'date': '2027-01-14', 'depart_time': '09:30', 'arrive_time': '22:45', 'flight_numbers': 'WN 3988 / WN 742 / WN 2592', 'carriers': 'WN', 'stops': 2, 'duration_minutes': 615, 'duration_display': '10h 15m', 'segments': [{'origin': 'SFO', 'destination': 'BUR', 'depart_time': '09:30', 'arrive_time': '10:40', 'airline': 'WN', 'flight_number': '3988', 'aircraft': 'Boeing 737-700 (Scimitar Winglets) Pax', 'duration_minutes': 70}, {'origin': 'BUR', 'destination': 'DEN', 'depart_time': '13:50', 'arrive_time': '17:10', 'airline': 'WN', 'flight_number': '742', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 140}, {'origin': 'DEN', 'destination': 'DTW', 'depart_time': '18:05', 'arrive_time': '22:45', 'airline': 'WN', 'flight_number': '2592', 'aircraft': 'Boeing 737-700 (Scimitar Winglets) Pax', 'duration_minutes': 160}], 'layovers': [{'airport': 'BUR', 'duration_minutes': 190, 'overnight': False, 'change_of_airport': False}, {'airport': 'DEN', 'duration_minutes': 55, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SFO,DTW,2027-01-14,09:30,22:45,WN 3988 / WN 742 / WN 2592,WN,2,615,10h 15m,,,,,,,,09:30,22:45,WN 3988 / WN 742 / WN 2592,WN,economy,2,cash,fli,,259.0,259.0,USD,,259.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_dtw_2027-01-14_economy_fli_raw.json,100.0,51.25,0.0,0.0,410.25,,25,False,,615,10h 15m,USD 259.00,
SFO,DTW,2027-01-14,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'DTW', 'date': '2027-01-14', 'depart_time': '07:00', 'arrive_time': '20:37', 'flight_numbers': 'AA 2211 / AA 738 / AA 4955', 'carriers': 'AA', 'stops': 2, 'duration_minutes': 637, 'duration_display': '10h 37m', 'segments': [{'origin': 'SFO', 'destination': 'LAX', 'depart_time': '07:00', 'arrive_time': '08:28', 'airline': 'AA', 'flight_number': '2211', 'aircraft': 'Boeing 737', 'duration_minutes': 88}, {'origin': 'LAX', 'destination': 'ORD', 'depart_time': '10:40', 'arrive_time': '16:49', 'airline': 'AA', 'flight_number': '738', 'aircraft': 'Boeing 737', 'duration_minutes': 249}, {'origin': 'ORD', 'destination': 'DTW', 'depart_time': '18:06', 'arrive_time': '20:37', 'airline': 'AA', 'flight_number': '4955', 'aircraft': 'Canadair RJ 700', 'duration_minutes': 91}], 'layovers': [{'airport': 'LAX', 'duration_minutes': 132, 'overnight': False, 'change_of_airport': False}, {'airport': 'ORD', 'duration_minutes': 77, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SFO,DTW,2027-01-14,07:00,20:37,AA 2211 / AA 738 / AA 4955,AA,2,637,10h 37m,,,,,,,,07:00,20:37,AA 2211 / AA 738 / AA 4955,AA,economy,2,cash,fli,,259.0,259.0,USD,,259.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_dtw_2027-01-14_economy_fli_raw.json,100.0,53.08,0.0,0.0,412.08,,22,False,,637,10h 37m,USD 259.00,
SFO,DTW,2027-01-14,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'DTW', 'date': '2027-01-14', 'depart_time': '11:35', 'arrive_time': '19:11', 'flight_numbers': 'DL 361', 'carriers': 'DL', 'stops': 0, 'duration_minutes': 276, 'duration_display': '4h 36m', 'segments': [{'origin': 'SFO', 'destination': 'DTW', 'depart_time': '11:35', 'arrive_time': '19:11', 'airline': 'DL', 'flight_number': '361', 'aircraft': 'Boeing 737', 'duration_minutes': 276}], 'layovers': []}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SFO,DTW,2027-01-14,11:35,19:11,DL 361,DL,0,276,4h 36m,,,,,,,,11:35,19:11,DL 361,DL,economy,0,cash,fli,,404.0,404.0,USD,,404.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_dtw_2027-01-14_economy_fli_raw.json,0.0,23.0,0.0,0.0,427.0,,58,False,,276,4h 36m,USD 404.00,
SFO,DTW,2027-01-14,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'DTW', 'date': '2027-01-14', 'depart_time': '07:20', 'arrive_time': '22:45', 'flight_numbers': 'WN 4594 / WN 4116 / WN 2592', 'carriers': 'WN', 'stops': 2, 'duration_minutes': 745, 'duration_display': '12h 25m', 'segments': [{'origin': 'SFO', 'destination': 'SAN', 'depart_time': '07:20', 'arrive_time': '08:55', 'airline': 'WN', 'flight_number': '4594', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 95}, {'origin': 'SAN', 'destination': 'DEN', 'depart_time': '13:45', 'arrive_time': '17:05', 'airline': 'WN', 'flight_number': '4116', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 140}, {'origin': 'DEN', 'destination': 'DTW', 'depart_time': '18:05', 'arrive_time': '22:45', 'airline': 'WN', 'flight_number': '2592', 'aircraft': 'Boeing 737-700 (Scimitar Winglets) Pax', 'duration_minutes': 160}], 'layovers': [{'airport': 'SAN', 'duration_minutes': 290, 'overnight': False, 'change_of_airport': False}, {'airport': 'DEN', 'duration_minutes': 60, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SFO,DTW,2027-01-14,07:20,22:45,WN 4594 / WN 4116 / WN 2592,WN,2,745,12h 25m,,,,,,,,07:20,22:45,WN 4594 / WN 4116 / WN 2592,WN,economy,2,cash,fli,,265.0,265.0,USD,,265.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_dtw_2027-01-14_economy_fli_raw.json,100.0,62.08,0.0,0.0,427.08,,29,False,,745,12h 25m,USD 265.00,
