origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,cash_detail_status,cash_detail_source,legs,outbound_origin,outbound_destination,outbound_date,outbound_depart_time,outbound_arrive_time,outbound_flight_numbers,outbound_carriers,outbound_stops,outbound_duration_minutes,outbound_duration_display,return_depart_time,return_arrive_time,return_flight_numbers,return_carriers,return_stops,return_duration_minutes,return_duration_display,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,cash_price_amount,cash_price_currency,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,score,flags,provider_rank,provider_is_best,provider_current_price,duration_minutes,duration_display,raw_price,delay
CUN,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '12:57', 'arrive_time': '16:40', 'flight_numbers': 'UA 1948', 'carriers': 'UA', 'stops': 0, 'duration_minutes': 343, 'duration_display': '5h 43m', 'segments': [{'origin': 'CUN', 'destination': 'SFO', 'depart_time': '12:57', 'arrive_time': '16:40', 'airline': 'UA', 'flight_number': '1948', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 343}], 'layovers': []}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",CUN,SFO,2026-09-07,12:57,16:40,UA 1948,UA,0,343,5h 43m,,,,,,,,12:57,16:40,UA 1948,UA,economy,0,cash,fli,,561.0,561.0,USD,,561.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/cun_sfo_2026-09-07_economy_fli_raw.json,0.0,28.58,0.0,0.0,589.58,,22,False,,343,5h 43m,USD 561.00,
CUN,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '21:05', 'arrive_time': '10:44 +1', 'flight_numbers': 'AC 1813 / AC 739', 'carriers': 'AC', 'stops': 1, 'duration_minutes': 939, 'duration_display': '15h 39m', 'segments': [{'origin': 'CUN', 'destination': 'YYZ', 'depart_time': '21:05', 'arrive_time': '02:05', 'airline': 'AC', 'flight_number': '1813', 'aircraft': 'Airbus A321', 'duration_minutes': 240}, {'origin': 'YYZ', 'destination': 'SFO', 'depart_time': '08:15', 'arrive_time': '10:44', 'airline': 'AC', 'flight_number': '739', 'aircraft': 'Airbus A220-300 Passenger', 'duration_minutes': 329}], 'layovers': [{'airport': 'YYZ', 'duration_minutes': 370, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",CUN,SFO,2026-09-07,21:05,10:44 +1,AC 1813 / AC 739,AC,1,939,15h 39m,,,,,,,,21:05,10:44 +1,AC 1813 / AC 739,AC,economy,1,cash,fli,,395.0,395.0,USD,,395.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/cun_sfo_2026-09-07_economy_fli_raw.json,50.0,78.25,0.0,75.0,598.25,next_day_arrival,1,True,,939,15h 39m,USD 395.00,
CUN,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '21:05', 'arrive_time': '12:34 +1', 'flight_numbers': 'AC 1813 / AC 741', 'carriers': 'AC', 'stops': 1, 'duration_minutes': 1049, 'duration_display': '17h 29m', 'segments': [{'origin': 'CUN', 'destination': 'YYZ', 'depart_time': '21:05', 'arrive_time': '02:05', 'airline': 'AC', 'flight_number': '1813', 'aircraft': 'Airbus A321', 'duration_minutes': 240}, {'origin': 'YYZ', 'destination': 'SFO', 'depart_time': '10:05', 'arrive_time': '12:34', 'airline': 'AC', 'flight_number': '741', 'aircraft': 'Airbus A320', 'duration_minutes': 329}], 'layovers': [{'airport': 'YYZ', 'duration_minutes': 480, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",CUN,SFO,2026-09-07,21:05,12:34 +1,AC 1813 / AC 741,AC,1,1049,17h 29m,,,,,,,,21:05,12:34 +1,AC 1813 / AC 741,AC,economy,1,cash,fli,,395.0,395.0,USD,,395.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/cun_sfo_2026-09-07_economy_fli_raw.json,50.0,87.42,0.0,75.0,607.42,next_day_arrival,2,False,,1049,17h 29m,USD 395.00,
CUN,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '09:11', 'arrive_time': '21:10', 'flight_numbers': 'AM 515 / AM 664', 'carriers': 'AM', 'stops': 1, 'duration_minutes': 839, 'duration_display': '13h 59m', 'segments': [{'origin': 'CUN', 'destination': 'MEX', 'depart_time': '09:11', 'arrive_time': '10:30', 'airline': 'AM', 'flight_number': '515', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 139}, {'origin': 'MEX', 'destination': 'SFO', 'depart_time': '17:20', 'arrive_time': '21:10', 'airline': 'AM', 'flight_number': '664', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 290}], 'layovers': [{'airport': 'MEX', 'duration_minutes': 410, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",CUN,SFO,2026-09-07,09:11,21:10,AM 515 / AM 664,AM,1,839,13h 59m,,,,,,,,09:11,21:10,AM 515 / AM 664,AM,economy,1,cash,fli,,499.0,499.0,USD,,499.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/cun_sfo_2026-09-07_economy_fli_raw.json,50.0,69.92,0.0,0.0,618.92,,16,False,,839,13h 59m,USD 499.00,
CUN,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '21:05', 'arrive_time': '15:24 +1', 'flight_numbers': 'AC 1813 / AC 743', 'carriers': 'AC', 'stops': 1, 'duration_minutes': 1219, 'duration_display': '20h 19m', 'segments': [{'origin': 'CUN', 'destination': 'YYZ', 'depart_time': '21:05', 'arrive_time': '02:05', 'airline': 'AC', 'flight_number': '1813', 'aircraft': 'Airbus A321', 'duration_minutes': 240}, {'origin': 'YYZ', 'destination': 'SFO', 'depart_time': '12:55', 'arrive_time': '15:24', 'airline': 'AC', 'flight_number': '743', 'aircraft': 'Airbus A220-300 Passenger', 'duration_minutes': 329}], 'layovers': [{'airport': 'YYZ', 'duration_minutes': 650, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",CUN,SFO,2026-09-07,21:05,15:24 +1,AC 1813 / AC 743,AC,1,1219,20h 19m,,,,,,,,21:05,15:24 +1,AC 1813 / AC 743,AC,economy,1,cash,fli,,395.0,395.0,USD,,395.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/cun_sfo_2026-09-07_economy_fli_raw.json,50.0,101.58,0.0,75.0,621.58,next_day_arrival,3,False,,1219,20h 19m,USD 395.00,
CUN,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '07:56', 'arrive_time': '21:10', 'flight_numbers': 'AM 511 / AM 664', 'carriers': 'AM', 'stops': 1, 'duration_minutes': 914, 'duration_display': '15h 14m', 'segments': [{'origin': 'CUN', 'destination': 'MEX', 'depart_time': '07:56', 'arrive_time': '09:15', 'airline': 'AM', 'flight_number': '511', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 139}, {'origin': 'MEX', 'destination': 'SFO', 'depart_time': '17:20', 'arrive_time': '21:10', 'airline': 'AM', 'flight_number': '664', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 290}], 'layovers': [{'airport': 'MEX', 'duration_minutes': 485, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",CUN,SFO,2026-09-07,07:56,21:10,AM 511 / AM 664,AM,1,914,15h 14m,,,,,,,,07:56,21:10,AM 511 / AM 664,AM,economy,1,cash,fli,,499.0,499.0,USD,,499.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/cun_sfo_2026-09-07_economy_fli_raw.json,50.0,76.17,0.0,0.0,625.17,,15,False,,914,15h 14m,USD 499.00,
CUN,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '08:00', 'arrive_time': '21:13', 'flight_numbers': 'AA 316 / AA 1430', 'carriers': 'AA', 'stops': 1, 'duration_minutes': 913, 'duration_display': '15h 13m', 'segments': [{'origin': 'CUN', 'destination': 'DFW', 'depart_time': '08:00', 'arrive_time': '11:01', 'airline': 'AA', 'flight_number': '316', 'aircraft': 'Boeing 737', 'duration_minutes': 181}, {'origin': 'DFW', 'destination': 'SFO', 'depart_time': '19:31', 'arrive_time': '21:13', 'airline': 'AA', 'flight_number': '1430', 'aircraft': 'Airbus A321', 'duration_minutes': 222}], 'layovers': [{'airport': 'DFW', 'duration_minutes': 510, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",CUN,SFO,2026-09-07,08:00,21:13,AA 316 / AA 1430,AA,1,913,15h 13m,,,,,,,,08:00,21:13,AA 316 / AA 1430,AA,economy,1,cash,fli,,500.0,500.0,USD,,500.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/cun_sfo_2026-09-07_economy_fli_raw.json,50.0,76.08,0.0,0.0,626.08,,17,False,,913,15h 13m,USD 500.00,
CUN,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '08:00', 'arrive_time': '22:18', 'flight_numbers': 'AA 316 / AA 2522', 'carriers': 'AA', 'stops': 1, 'duration_minutes': 978, 'duration_display': '16h 18m', 'segments': [{'origin': 'CUN', 'destination': 'DFW', 'depart_time': '08:00', 'arrive_time': '11:01', 'airline': 'AA', 'flight_number': '316', 'aircraft': 'Boeing 737', 'duration_minutes': 181}, {'origin': 'DFW', 'destination': 'SFO', 'depart_time': '20:38', 'arrive_time': '22:18', 'airline': 'AA', 'flight_number': '2522', 'aircraft': 'Airbus A321', 'duration_minutes': 220}], 'layovers': [{'airport': 'DFW', 'duration_minutes': 577, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",CUN,SFO,2026-09-07,08:00,22:18,AA 316 / AA 2522,AA,1,978,16h 18m,,,,,,,,08:00,22:18,AA 316 / AA 2522,AA,economy,1,cash,fli,,500.0,500.0,USD,,500.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/cun_sfo_2026-09-07_economy_fli_raw.json,50.0,81.5,0.0,0.0,631.5,,18,False,,978,16h 18m,USD 500.00,
CUN,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '06:59', 'arrive_time': '13:20', 'flight_numbers': 'AM 505 / AM 668', 'carriers': 'AM', 'stops': 1, 'duration_minutes': 501, 'duration_display': '8h 21m', 'segments': [{'origin': 'CUN', 'destination': 'MEX', 'depart_time': '06:59', 'arrive_time': '08:20', 'airline': 'AM', 'flight_number': '505', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 141}, {'origin': 'MEX', 'destination': 'SFO', 'depart_time': '09:45', 'arrive_time': '13:20', 'airline': 'AM', 'flight_number': '668', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 275}], 'layovers': [{'airport': 'MEX', 'duration_minutes': 85, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",CUN,SFO,2026-09-07,06:59,13:20,AM 505 / AM 668,AM,1,501,8h 21m,,,,,,,,06:59,13:20,AM 505 / AM 668,AM,economy,1,cash,fli,,499.0,499.0,USD,,499.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/cun_sfo_2026-09-07_economy_fli_raw.json,50.0,41.75,50.0,0.0,640.75,early departure,13,False,,501,8h 21m,USD 499.00,
CUN,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '06:04', 'arrive_time': '13:20', 'flight_numbers': 'AM 501 / AM 668', 'carriers': 'AM', 'stops': 1, 'duration_minutes': 556, 'duration_display': '9h 16m', 'segments': [{'origin': 'CUN', 'destination': 'MEX', 'depart_time': '06:04', 'arrive_time': '07:25', 'airline': 'AM', 'flight_number': '501', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 141}, {'origin': 'MEX', 'destination': 'SFO', 'depart_time': '09:45', 'arrive_time': '13:20', 'airline': 'AM', 'flight_number': '668', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 275}], 'layovers': [{'airport': 'MEX', 'duration_minutes': 140, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",CUN,SFO,2026-09-07,06:04,13:20,AM 501 / AM 668,AM,1,556,9h 16m,,,,,,,,06:04,13:20,AM 501 / AM 668,AM,economy,1,cash,fli,,499.0,499.0,USD,,499.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/cun_sfo_2026-09-07_economy_fli_raw.json,50.0,46.33,50.0,0.0,645.33,early departure,11,False,,556,9h 16m,USD 499.00,
CUN,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '12:33', 'arrive_time': '23:53', 'flight_numbers': 'AA 1102 / AA 2912', 'carriers': 'AA', 'stops': 1, 'duration_minutes': 800, 'duration_display': '13h 20m', 'segments': [{'origin': 'CUN', 'destination': 'MIA', 'depart_time': '12:33', 'arrive_time': '15:28', 'airline': 'AA', 'flight_number': '1102', 'aircraft': 'Airbus A321neo', 'duration_minutes': 115}, {'origin': 'MIA', 'destination': 'SFO', 'depart_time': '20:43', 'arrive_time': '23:53', 'airline': 'AA', 'flight_number': '2912', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 370}], 'layovers': [{'airport': 'MIA', 'duration_minutes': 315, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",CUN,SFO,2026-09-07,12:33,23:53,AA 1102 / AA 2912,AA,1,800,13h 20m,,,,,,,,12:33,23:53,AA 1102 / AA 2912,AA,economy,1,cash,fli,,480.0,480.0,USD,,480.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/cun_sfo_2026-09-07_economy_fli_raw.json,50.0,66.67,50.0,0.0,646.67,late arrival,6,False,,800,13h 20m,USD 480.00,
CUN,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '14:20', 'arrive_time': '20:17', 'flight_numbers': 'UA 1275 / UA 2681', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 477, 'duration_display': '7h 57m', 'segments': [{'origin': 'CUN', 'destination': 'LAX', 'depart_time': '14:20', 'arrive_time': '17:22', 'airline': 'UA', 'flight_number': '1275', 'aircraft': 'Boeing 737', 'duration_minutes': 302}, {'origin': 'LAX', 'destination': 'SFO', 'depart_time': '18:45', 'arrive_time': '20:17', 'airline': 'UA', 'flight_number': '2681', 'aircraft': 'Boeing 737', 'duration_minutes': 92}], 'layovers': [{'airport': 'LAX', 'duration_minutes': 83, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",CUN,SFO,2026-09-07,14:20,20:17,UA 1275 / UA 2681,UA,1,477,7h 57m,,,,,,,,14:20,20:17,UA 1275 / UA 2681,UA,economy,1,cash,fli,,567.0,567.0,USD,,567.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/cun_sfo_2026-09-07_economy_fli_raw.json,50.0,39.75,0.0,0.0,656.75,,32,False,,477,7h 57m,USD 567.00,
CUN,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '14:31', 'arrive_time': '21:10', 'flight_numbers': 'AM 535 / AM 664', 'carriers': 'AM', 'stops': 1, 'duration_minutes': 519, 'duration_display': '8h 39m', 'segments': [{'origin': 'CUN', 'destination': 'MEX', 'depart_time': '14:31', 'arrive_time': '16:00', 'airline': 'AM', 'flight_number': '535', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 149}, {'origin': 'MEX', 'destination': 'SFO', 'depart_time': '17:20', 'arrive_time': '21:10', 'airline': 'AM', 'flight_number': '664', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 290}], 'layovers': [{'airport': 'MEX', 'duration_minutes': 80, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",CUN,SFO,2026-09-07,14:31,21:10,AM 535 / AM 664,AM,1,519,8h 39m,,,,,,,,14:31,21:10,AM 535 / AM 664,AM,economy,1,cash,fli,,567.0,567.0,USD,,567.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/cun_sfo_2026-09-07_economy_fli_raw.json,50.0,43.25,0.0,0.0,660.25,,37,False,,519,8h 39m,USD 567.00,
CUN,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '14:20', 'arrive_time': '21:47', 'flight_numbers': 'UA 1275 / UA 1195', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 567, 'duration_display': '9h 27m', 'segments': [{'origin': 'CUN', 'destination': 'LAX', 'depart_time': '14:20', 'arrive_time': '17:22', 'airline': 'UA', 'flight_number': '1275', 'aircraft': 'Boeing 737', 'duration_minutes': 302}, {'origin': 'LAX', 'destination': 'SFO', 'depart_time': '20:21', 'arrive_time': '21:47', 'airline': 'UA', 'flight_number': '1195', 'aircraft': 'Boeing 737', 'duration_minutes': 86}], 'layovers': [{'airport': 'LAX', 'duration_minutes': 179, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",CUN,SFO,2026-09-07,14:20,21:47,UA 1275 / UA 1195,UA,1,567,9h 27m,,,,,,,,14:20,21:47,UA 1275 / UA 1195,UA,economy,1,cash,fli,,567.0,567.0,USD,,567.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/cun_sfo_2026-09-07_economy_fli_raw.json,50.0,47.25,0.0,0.0,664.25,,33,False,,567,9h 27m,USD 567.00,
CUN,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '12:38', 'arrive_time': '21:10', 'flight_numbers': 'AM 527 / AM 664', 'carriers': 'AM', 'stops': 1, 'duration_minutes': 632, 'duration_display': '10h 32m', 'segments': [{'origin': 'CUN', 'destination': 'MEX', 'depart_time': '12:38', 'arrive_time': '14:05', 'airline': 'AM', 'flight_number': '527', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 147}, {'origin': 'MEX', 'destination': 'SFO', 'depart_time': '17:20', 'arrive_time': '21:10', 'airline': 'AM', 'flight_number': '664', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 290}], 'layovers': [{'airport': 'MEX', 'duration_minutes': 195, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",CUN,SFO,2026-09-07,12:38,21:10,AM 527 / AM 664,AM,1,632,10h 32m,,,,,,,,12:38,21:10,AM 527 / AM 664,AM,economy,1,cash,fli,,567.0,567.0,USD,,567.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/cun_sfo_2026-09-07_economy_fli_raw.json,50.0,52.67,0.0,0.0,669.67,,36,False,,632,10h 32m,USD 567.00,
CUN,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '14:20', 'arrive_time': '22:55', 'flight_numbers': 'UA 1275 / UA 2056', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 635, 'duration_display': '10h 35m', 'segments': [{'origin': 'CUN', 'destination': 'LAX', 'depart_time': '14:20', 'arrive_time': '17:22', 'airline': 'UA', 'flight_number': '1275', 'aircraft': 'Boeing 737', 'duration_minutes': 302}, {'origin': 'LAX', 'destination': 'SFO', 'depart_time': '21:29', 'arrive_time': '22:55', 'airline': 'UA', 'flight_number': '2056', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 86}], 'layovers': [{'airport': 'LAX', 'duration_minutes': 247, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",CUN,SFO,2026-09-07,14:20,22:55,UA 1275 / UA 2056,UA,1,635,10h 35m,,,,,,,,14:20,22:55,UA 1275 / UA 2056,UA,economy,1,cash,fli,,567.0,567.0,USD,,567.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/cun_sfo_2026-09-07_economy_fli_raw.json,50.0,52.92,0.0,0.0,669.92,,34,False,,635,10h 35m,USD 567.00,
CUN,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '11:16', 'arrive_time': '21:10', 'flight_numbers': 'AM 523 / AM 664', 'carriers': 'AM', 'stops': 1, 'duration_minutes': 714, 'duration_display': '11h 54m', 'segments': [{'origin': 'CUN', 'destination': 'MEX', 'depart_time': '11:16', 'arrive_time': '12:45', 'airline': 'AM', 'flight_number': '523', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 149}, {'origin': 'MEX', 'destination': 'SFO', 'depart_time': '17:20', 'arrive_time': '21:10', 'airline': 'AM', 'flight_number': '664', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 290}], 'layovers': [{'airport': 'MEX', 'duration_minutes': 275, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",CUN,SFO,2026-09-07,11:16,21:10,AM 523 / AM 664,AM,1,714,11h 54m,,,,,,,,11:16,21:10,AM 523 / AM 664,AM,economy,1,cash,fli,,567.0,567.0,USD,,567.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/cun_sfo_2026-09-07_economy_fli_raw.json,50.0,59.5,0.0,0.0,676.5,,35,False,,714,11h 54m,USD 567.00,
