origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,cash_detail_status,cash_detail_source,legs,outbound_origin,outbound_destination,outbound_date,outbound_depart_time,outbound_arrive_time,outbound_flight_numbers,outbound_carriers,outbound_stops,outbound_duration_minutes,outbound_duration_display,return_depart_time,return_arrive_time,return_flight_numbers,return_carriers,return_stops,return_duration_minutes,return_duration_display,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,cash_price_amount,cash_price_currency,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,score,flags,provider_rank,provider_is_best,provider_current_price,duration_minutes,duration_display,raw_price,delay
SJC,FCA,2026-09-05,multi-city,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '07:02', 'arrive_time': '13:28', 'flight_numbers': 'AS 754 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 326, 'duration_display': '5h 26m', 'segments': [{'origin': 'SJC', 'destination': 'PDX', 'depart_time': '07:02', 'arrive_time': '08:49', 'airline': 'AS', 'flight_number': '754', 'aircraft': 'Boeing 737', 'duration_minutes': 107}, {'origin': 'PDX', 'destination': 'FCA', 'depart_time': '10:52', 'arrive_time': '13:28', 'airline': 'AS', 'flight_number': '2412', 'aircraft': 'Embraer 175', 'duration_minutes': 96}], 'layovers': [{'airport': 'PDX', 'duration_minutes': 123, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '16:16', 'arrive_time': '19:59', 'flight_numbers': 'AS 660 / AS 619', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 283, 'duration_display': '4h 43m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '16:16', 'arrive_time': '17:00', 'airline': 'AS', 'flight_number': '660', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 104}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '17:44', 'arrive_time': '19:59', 'airline': 'AS', 'flight_number': '619', 'aircraft': 'Boeing 737', 'duration_minutes': 135}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 44, 'overnight': False, 'change_of_airport': False}]}}",SJC,FCA,2026-09-05,07:02,13:28,AS 754 / AS 2412,AS,1,326,5h 26m,16:16,19:59,AS 660 / AS 619,AS,1,283,4h 43m,07:02,13:28,AS 754 / AS 2412,AS,economy,1,cash,fli,,768.0,768.0,USD,,768.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-05_mso_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,27.17,0.0,0.0,845.17,,7,False,,326,5h 26m,USD 768.00,
SJC,FCA,2026-09-05,multi-city,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '07:02', 'arrive_time': '13:28', 'flight_numbers': 'AS 754 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 326, 'duration_display': '5h 26m', 'segments': [{'origin': 'SJC', 'destination': 'PDX', 'depart_time': '07:02', 'arrive_time': '08:49', 'airline': 'AS', 'flight_number': '754', 'aircraft': 'Boeing 737', 'duration_minutes': 107}, {'origin': 'PDX', 'destination': 'FCA', 'depart_time': '10:52', 'arrive_time': '13:28', 'airline': 'AS', 'flight_number': '2412', 'aircraft': 'Embraer 175', 'duration_minutes': 96}], 'layovers': [{'airport': 'PDX', 'duration_minutes': 123, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '16:16', 'arrive_time': '21:30', 'flight_numbers': 'AS 660 / AS 628', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 374, 'duration_display': '6h 14m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '16:16', 'arrive_time': '17:00', 'airline': 'AS', 'flight_number': '660', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 104}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '19:15', 'arrive_time': '21:30', 'airline': 'AS', 'flight_number': '628', 'aircraft': 'Boeing 737', 'duration_minutes': 135}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 135, 'overnight': False, 'change_of_airport': False}]}}",SJC,FCA,2026-09-05,07:02,13:28,AS 754 / AS 2412,AS,1,326,5h 26m,16:16,21:30,AS 660 / AS 628,AS,1,374,6h 14m,07:02,13:28,AS 754 / AS 2412,AS,economy,1,cash,fli,,768.0,768.0,USD,,768.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-05_mso_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,27.17,0.0,0.0,845.17,,8,False,,326,5h 26m,USD 768.00,
SJC,FCA,2026-09-05,multi-city,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '06:17', 'arrive_time': '12:28', 'flight_numbers': 'AS 762 / AS 2405', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 311, 'duration_display': '5h 11m', 'segments': [{'origin': 'SJC', 'destination': 'SEA', 'depart_time': '06:17', 'arrive_time': '08:32', 'airline': 'AS', 'flight_number': '762', 'aircraft': 'Boeing 737', 'duration_minutes': 135}, {'origin': 'SEA', 'destination': 'FCA', 'depart_time': '10:02', 'arrive_time': '12:28', 'airline': 'AS', 'flight_number': '2405', 'aircraft': 'Embraer 175', 'duration_minutes': 86}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 90, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '07:15', 'arrive_time': '12:56', 'flight_numbers': 'AS 722 / AS 688', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 401, 'duration_display': '6h 41m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '07:15', 'arrive_time': '07:58', 'airline': 'AS', 'flight_number': '722', 'aircraft': 'Boeing 737', 'duration_minutes': 103}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '10:40', 'arrive_time': '12:56', 'airline': 'AS', 'flight_number': '688', 'aircraft': 'Boeing 737', 'duration_minutes': 136}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 162, 'overnight': False, 'change_of_airport': False}]}}",SJC,FCA,2026-09-05,06:17,12:28,AS 762 / AS 2405,AS,1,311,5h 11m,07:15,12:56,AS 722 / AS 688,AS,1,401,6h 41m,06:17,12:28,AS 762 / AS 2405,AS,economy,1,cash,fli,,853.0,853.0,USD,,853.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-05_mso_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,25.92,50.0,0.0,978.92,early departure,21,False,,311,5h 11m,USD 853.00,
SJC,FCA,2026-09-05,multi-city,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '06:17', 'arrive_time': '12:28', 'flight_numbers': 'AS 762 / AS 2405', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 311, 'duration_display': '5h 11m', 'segments': [{'origin': 'SJC', 'destination': 'SEA', 'depart_time': '06:17', 'arrive_time': '08:32', 'airline': 'AS', 'flight_number': '762', 'aircraft': 'Boeing 737', 'duration_minutes': 135}, {'origin': 'SEA', 'destination': 'FCA', 'depart_time': '10:02', 'arrive_time': '12:28', 'airline': 'AS', 'flight_number': '2405', 'aircraft': 'Embraer 175', 'duration_minutes': 86}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 90, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '13:05', 'arrive_time': '16:37', 'flight_numbers': 'AS 2042 / AS 236', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 272, 'duration_display': '4h 32m', 'segments': [{'origin': 'MSO', 'destination': 'PDX', 'depart_time': '13:05', 'arrive_time': '13:36', 'airline': 'AS', 'flight_number': '2042', 'aircraft': 'Embraer 175', 'duration_minutes': 91}, {'origin': 'PDX', 'destination': 'SFO', 'depart_time': '14:42', 'arrive_time': '16:37', 'airline': 'AS', 'flight_number': '236', 'aircraft': 'Boeing 737', 'duration_minutes': 115}], 'layovers': [{'airport': 'PDX', 'duration_minutes': 66, 'overnight': False, 'change_of_airport': False}]}}",SJC,FCA,2026-09-05,06:17,12:28,AS 762 / AS 2405,AS,1,311,5h 11m,13:05,16:37,AS 2042 / AS 236,AS,1,272,4h 32m,06:17,12:28,AS 762 / AS 2405,AS,economy,1,cash,fli,,853.0,853.0,USD,,853.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-05_mso_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,25.92,50.0,0.0,978.92,early departure,22,False,,311,5h 11m,USD 853.00,
SJC,FCA,2026-09-05,multi-city,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '06:17', 'arrive_time': '12:28', 'flight_numbers': 'AS 762 / AS 2405', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 311, 'duration_display': '5h 11m', 'segments': [{'origin': 'SJC', 'destination': 'SEA', 'depart_time': '06:17', 'arrive_time': '08:32', 'airline': 'AS', 'flight_number': '762', 'aircraft': 'Boeing 737', 'duration_minutes': 135}, {'origin': 'SEA', 'destination': 'FCA', 'depart_time': '10:02', 'arrive_time': '12:28', 'airline': 'AS', 'flight_number': '2405', 'aircraft': 'Embraer 175', 'duration_minutes': 86}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 90, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '14:05', 'arrive_time': '18:00', 'flight_numbers': 'AS 2219 / AS 1385', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 295, 'duration_display': '4h 55m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '14:05', 'arrive_time': '14:40', 'airline': 'AS', 'flight_number': '2219', 'aircraft': 'Embraer 175', 'duration_minutes': 95}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '15:45', 'arrive_time': '18:00', 'airline': 'AS', 'flight_number': '1385', 'aircraft': 'Boeing 737', 'duration_minutes': 135}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 65, 'overnight': False, 'change_of_airport': False}]}}",SJC,FCA,2026-09-05,06:17,12:28,AS 762 / AS 2405,AS,1,311,5h 11m,14:05,18:00,AS 2219 / AS 1385,AS,1,295,4h 55m,06:17,12:28,AS 762 / AS 2405,AS,economy,1,cash,fli,,853.0,853.0,USD,,853.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-05_mso_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,25.92,50.0,0.0,978.92,early departure,23,False,,311,5h 11m,USD 853.00,
SJC,FCA,2026-09-05,multi-city,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '06:17', 'arrive_time': '12:28', 'flight_numbers': 'AS 762 / AS 2405', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 311, 'duration_display': '5h 11m', 'segments': [{'origin': 'SJC', 'destination': 'SEA', 'depart_time': '06:17', 'arrive_time': '08:32', 'airline': 'AS', 'flight_number': '762', 'aircraft': 'Boeing 737', 'duration_minutes': 135}, {'origin': 'SEA', 'destination': 'FCA', 'depart_time': '10:02', 'arrive_time': '12:28', 'airline': 'AS', 'flight_number': '2405', 'aircraft': 'Embraer 175', 'duration_minutes': 86}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 90, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '14:05', 'arrive_time': '19:59', 'flight_numbers': 'AS 2219 / AS 619', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 414, 'duration_display': '6h 54m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '14:05', 'arrive_time': '14:40', 'airline': 'AS', 'flight_number': '2219', 'aircraft': 'Embraer 175', 'duration_minutes': 95}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '17:44', 'arrive_time': '19:59', 'airline': 'AS', 'flight_number': '619', 'aircraft': 'Boeing 737', 'duration_minutes': 135}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 184, 'overnight': False, 'change_of_airport': False}]}}",SJC,FCA,2026-09-05,06:17,12:28,AS 762 / AS 2405,AS,1,311,5h 11m,14:05,19:59,AS 2219 / AS 619,AS,1,414,6h 54m,06:17,12:28,AS 762 / AS 2405,AS,economy,1,cash,fli,,853.0,853.0,USD,,853.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-05_mso_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,25.92,50.0,0.0,978.92,early departure,24,False,,311,5h 11m,USD 853.00,
SJC,FCA,2026-09-05,multi-city,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '06:17', 'arrive_time': '12:28', 'flight_numbers': 'AS 762 / AS 2405', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 311, 'duration_display': '5h 11m', 'segments': [{'origin': 'SJC', 'destination': 'SEA', 'depart_time': '06:17', 'arrive_time': '08:32', 'airline': 'AS', 'flight_number': '762', 'aircraft': 'Boeing 737', 'duration_minutes': 135}, {'origin': 'SEA', 'destination': 'FCA', 'depart_time': '10:02', 'arrive_time': '12:28', 'airline': 'AS', 'flight_number': '2405', 'aircraft': 'Embraer 175', 'duration_minutes': 86}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 90, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '16:16', 'arrive_time': '19:59', 'flight_numbers': 'AS 660 / AS 619', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 283, 'duration_display': '4h 43m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '16:16', 'arrive_time': '17:00', 'airline': 'AS', 'flight_number': '660', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 104}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '17:44', 'arrive_time': '19:59', 'airline': 'AS', 'flight_number': '619', 'aircraft': 'Boeing 737', 'duration_minutes': 135}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 44, 'overnight': False, 'change_of_airport': False}]}}",SJC,FCA,2026-09-05,06:17,12:28,AS 762 / AS 2405,AS,1,311,5h 11m,16:16,19:59,AS 660 / AS 619,AS,1,283,4h 43m,06:17,12:28,AS 762 / AS 2405,AS,economy,1,cash,fli,,853.0,853.0,USD,,853.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-05_mso_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,25.92,50.0,0.0,978.92,early departure,25,False,,311,5h 11m,USD 853.00,
SJC,FCA,2026-09-05,multi-city,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '06:17', 'arrive_time': '12:28', 'flight_numbers': 'AS 762 / AS 2405', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 311, 'duration_display': '5h 11m', 'segments': [{'origin': 'SJC', 'destination': 'SEA', 'depart_time': '06:17', 'arrive_time': '08:32', 'airline': 'AS', 'flight_number': '762', 'aircraft': 'Boeing 737', 'duration_minutes': 135}, {'origin': 'SEA', 'destination': 'FCA', 'depart_time': '10:02', 'arrive_time': '12:28', 'airline': 'AS', 'flight_number': '2405', 'aircraft': 'Embraer 175', 'duration_minutes': 86}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 90, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '16:16', 'arrive_time': '21:30', 'flight_numbers': 'AS 660 / AS 628', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 374, 'duration_display': '6h 14m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '16:16', 'arrive_time': '17:00', 'airline': 'AS', 'flight_number': '660', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 104}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '19:15', 'arrive_time': '21:30', 'airline': 'AS', 'flight_number': '628', 'aircraft': 'Boeing 737', 'duration_minutes': 135}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 135, 'overnight': False, 'change_of_airport': False}]}}",SJC,FCA,2026-09-05,06:17,12:28,AS 762 / AS 2405,AS,1,311,5h 11m,16:16,21:30,AS 660 / AS 628,AS,1,374,6h 14m,06:17,12:28,AS 762 / AS 2405,AS,economy,1,cash,fli,,853.0,853.0,USD,,853.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-05_mso_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,25.92,50.0,0.0,978.92,early departure,26,False,,311,5h 11m,USD 853.00,
SJC,FCA,2026-09-05,multi-city,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '14:40', 'arrive_time': '22:56', 'flight_numbers': 'AS 694 / AS 743 / AS 2256', 'carriers': 'AS', 'stops': 2, 'duration_minutes': 436, 'duration_display': '7h 16m', 'segments': [{'origin': 'SJC', 'destination': 'PDX', 'depart_time': '14:40', 'arrive_time': '16:26', 'airline': 'AS', 'flight_number': '694', 'aircraft': 'Boeing 737', 'duration_minutes': 106}, {'origin': 'PDX', 'destination': 'SEA', 'depart_time': '17:41', 'arrive_time': '18:51', 'airline': 'AS', 'flight_number': '743', 'aircraft': 'Boeing 737', 'duration_minutes': 70}, {'origin': 'SEA', 'destination': 'FCA', 'depart_time': '20:35', 'arrive_time': '22:56', 'airline': 'AS', 'flight_number': '2256', 'aircraft': 'Embraer 175', 'duration_minutes': 81}], 'layovers': [{'airport': 'PDX', 'duration_minutes': 75, 'overnight': False, 'change_of_airport': False}, {'airport': 'SEA', 'duration_minutes': 104, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '07:15', 'arrive_time': '12:56', 'flight_numbers': 'AS 722 / AS 688', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 401, 'duration_display': '6h 41m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '07:15', 'arrive_time': '07:58', 'airline': 'AS', 'flight_number': '722', 'aircraft': 'Boeing 737', 'duration_minutes': 103}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '10:40', 'arrive_time': '12:56', 'airline': 'AS', 'flight_number': '688', 'aircraft': 'Boeing 737', 'duration_minutes': 136}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 162, 'overnight': False, 'change_of_airport': False}]}}",SJC,FCA,2026-09-05,14:40,22:56,AS 694 / AS 743 / AS 2256,AS,2,436,7h 16m,07:15,12:56,AS 722 / AS 688,AS,1,401,6h 41m,14:40,22:56,AS 694 / AS 743 / AS 2256,AS,economy,2,cash,fli,,847.0,847.0,USD,,847.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-05_mso_sfo_2026-09-07_economy_multi_city_fli_raw.json,100.0,36.33,0.0,0.0,983.33,,12,False,,436,7h 16m,USD 847.00,
SJC,FCA,2026-09-05,multi-city,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '14:40', 'arrive_time': '22:56', 'flight_numbers': 'AS 694 / AS 743 / AS 2256', 'carriers': 'AS', 'stops': 2, 'duration_minutes': 436, 'duration_display': '7h 16m', 'segments': [{'origin': 'SJC', 'destination': 'PDX', 'depart_time': '14:40', 'arrive_time': '16:26', 'airline': 'AS', 'flight_number': '694', 'aircraft': 'Boeing 737', 'duration_minutes': 106}, {'origin': 'PDX', 'destination': 'SEA', 'depart_time': '17:41', 'arrive_time': '18:51', 'airline': 'AS', 'flight_number': '743', 'aircraft': 'Boeing 737', 'duration_minutes': 70}, {'origin': 'SEA', 'destination': 'FCA', 'depart_time': '20:35', 'arrive_time': '22:56', 'airline': 'AS', 'flight_number': '2256', 'aircraft': 'Embraer 175', 'duration_minutes': 81}], 'layovers': [{'airport': 'PDX', 'duration_minutes': 75, 'overnight': False, 'change_of_airport': False}, {'airport': 'SEA', 'duration_minutes': 104, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '13:05', 'arrive_time': '16:37', 'flight_numbers': 'AS 2042 / AS 236', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 272, 'duration_display': '4h 32m', 'segments': [{'origin': 'MSO', 'destination': 'PDX', 'depart_time': '13:05', 'arrive_time': '13:36', 'airline': 'AS', 'flight_number': '2042', 'aircraft': 'Embraer 175', 'duration_minutes': 91}, {'origin': 'PDX', 'destination': 'SFO', 'depart_time': '14:42', 'arrive_time': '16:37', 'airline': 'AS', 'flight_number': '236', 'aircraft': 'Boeing 737', 'duration_minutes': 115}], 'layovers': [{'airport': 'PDX', 'duration_minutes': 66, 'overnight': False, 'change_of_airport': False}]}}",SJC,FCA,2026-09-05,14:40,22:56,AS 694 / AS 743 / AS 2256,AS,2,436,7h 16m,13:05,16:37,AS 2042 / AS 236,AS,1,272,4h 32m,14:40,22:56,AS 694 / AS 743 / AS 2256,AS,economy,2,cash,fli,,847.0,847.0,USD,,847.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-05_mso_sfo_2026-09-07_economy_multi_city_fli_raw.json,100.0,36.33,0.0,0.0,983.33,,13,False,,436,7h 16m,USD 847.00,
SJC,FCA,2026-09-05,multi-city,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '14:40', 'arrive_time': '22:56', 'flight_numbers': 'AS 694 / AS 743 / AS 2256', 'carriers': 'AS', 'stops': 2, 'duration_minutes': 436, 'duration_display': '7h 16m', 'segments': [{'origin': 'SJC', 'destination': 'PDX', 'depart_time': '14:40', 'arrive_time': '16:26', 'airline': 'AS', 'flight_number': '694', 'aircraft': 'Boeing 737', 'duration_minutes': 106}, {'origin': 'PDX', 'destination': 'SEA', 'depart_time': '17:41', 'arrive_time': '18:51', 'airline': 'AS', 'flight_number': '743', 'aircraft': 'Boeing 737', 'duration_minutes': 70}, {'origin': 'SEA', 'destination': 'FCA', 'depart_time': '20:35', 'arrive_time': '22:56', 'airline': 'AS', 'flight_number': '2256', 'aircraft': 'Embraer 175', 'duration_minutes': 81}], 'layovers': [{'airport': 'PDX', 'duration_minutes': 75, 'overnight': False, 'change_of_airport': False}, {'airport': 'SEA', 'duration_minutes': 104, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '14:05', 'arrive_time': '18:00', 'flight_numbers': 'AS 2219 / AS 1385', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 295, 'duration_display': '4h 55m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '14:05', 'arrive_time': '14:40', 'airline': 'AS', 'flight_number': '2219', 'aircraft': 'Embraer 175', 'duration_minutes': 95}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '15:45', 'arrive_time': '18:00', 'airline': 'AS', 'flight_number': '1385', 'aircraft': 'Boeing 737', 'duration_minutes': 135}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 65, 'overnight': False, 'change_of_airport': False}]}}",SJC,FCA,2026-09-05,14:40,22:56,AS 694 / AS 743 / AS 2256,AS,2,436,7h 16m,14:05,18:00,AS 2219 / AS 1385,AS,1,295,4h 55m,14:40,22:56,AS 694 / AS 743 / AS 2256,AS,economy,2,cash,fli,,847.0,847.0,USD,,847.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-05_mso_sfo_2026-09-07_economy_multi_city_fli_raw.json,100.0,36.33,0.0,0.0,983.33,,14,False,,436,7h 16m,USD 847.00,
